page,image_file,binomial,photographer,source_url,license,license_url
"docs/herbs/Sida_mysorensis_-_Mysore_Fanpetals,_Antututti.md",Sida_mysorensis_malvaceae_-_Flickr_-_dinesh_valke.jpg,Sida mysorensis,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/9953431076,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Sida_spinosa_-_Indian_mallow,_Kaadumenthya.md",Sida_spinosa_annual_-_Flickr_-_dinesh_valke.jpg,Sida spinosa,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/3966749930,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Sigesbeckia_orientalis_-_Eastern_St._Paul's-wort,_ಅಂಟು_ಹೂವಿನ_ಗಿಡ,_Gobariya,_Katampam,_Katampoo,_Katampu.md",Sigesbeckia_orientalis_asteraceae_-_Flickr_-_dinesh_valke.jpg,Sigesbeckia orientalis,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/15178275942,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Smilax_ovalifolia.md,Smilax_ovalifolia_-_Flickr_-_dinesh_valke.jpg,Smilax ovalifolia,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/53575462063,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Solanum_seaforthianum.md,Solanum_seaforthianum_-_Flickr_-_dinesh_valke.jpg,Solanum seaforthianum,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/43269950955,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Sonchus_asper.md,Sonchus_asper_-_Flickr_-_dinesh_valke.jpg,Sonchus asper,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/2560920848,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Sonchus_oleraceus.md,Sonchus_oleraceus_-_Flickr_-_dinesh_valke.jpg,Sonchus oleraceus,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/4852120854,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Sophora_tomentosa.md,Sophora_tomentosa_-_Flickr_-_dinesh_valke.jpg,Sophora tomentosa,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/26979346427,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Sopubia_delphinifolia.md,Sopubia_delphinifolia_scrophulariaceae_-_Flickr_-_dinesh_valke.jpg,Sopubia delphinifolia,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/6230895676,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Soymida_febrifuga.md,Soymida_febrifuga_-_Flickr_-_dinesh_valke.jpg,Soymida febrifuga,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/55185252193,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
docs/herbs/Spathodea_campanulata.md,Spathodea_campanulata_-_Flickr_-_dinesh_valke.jpg,Spathodea campanulata,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/49095093361,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Spatholobus_parviflorus_-_Palas-climber,_ಬಳ್ಳಿ_ಮುತ್ತುಗ,_Malini,_Yanai-t-tatippu,_Bodegateega,_Aambuvalli,_Palashin.md",Spatholobus_parviflorus_-_Flickr_-_dinesh_valke.jpg,Spatholobus parviflorus,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/54206063540,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Sphaeranthus_indicus.md,Sphaeranthus_indicus_tropical_-_Flickr_-_dinesh_valke.jpg,Sphaeranthus indicus,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/3031231865,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Spinifex_littoreus_-_Littoral_spinegrass,_ರಾವಣನ_ಮೀಸೆ,_Iravanan-michai,_Gutti-romalu-gaddi,_Elimullu,_Kolanti_tan.md",Spinifex_littoreus_poaceae_-_Flickr_-_dinesh_valke.jpg,Spinifex littoreus,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/46763036051,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Spondias_pinnata_-_Wild_mango.md,Spondias_pinnata_deciduous_-_Flickr_-_dinesh_valke.jpg,Spondias pinnata,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/3098187264,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Stellaria_aquatica.md,Stellaria_aquatica_-_Flickr_-_dinesh_valke.jpg,Stellaria aquatica,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/2560842443,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Stephania_glabra.md,Stephania_glabra_-_Flickr_-_dinesh_valke.jpg,Stephania glabra,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/7759827690,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Sterculia_guttata_-_Bloody_drop_ordure_tree,_ಹೇಲ್_ತಾರೆ,_Hirik,_Kalutaivitai,_Kavalam,_Goldada.md",Sterculia_guttata_-_Flickr_-_dinesh_valke.jpg,Sterculia guttata,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/55249337835,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
docs/herbs/Sterculia_urens.md,Sterculia_urens_-_Flickr_-_dinesh_valke.jpg,Sterculia urens,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/49573194983,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Streblus_asper.md,Streblus_asper_-_Flickr_-_dinesh_valke.jpg,Streblus asper,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/53569003343,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Striga_asiatica_-_Asiatic_witchweed,_Bilikasa.md",Striga_asiatica_-_Flickr_-_dinesh_valke.jpg,Striga asiatica,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/51384067181,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Strychnos_colubrina.md,Strychnos_colubrina_-_Flickr_-_dinesh_valke.jpg,Strychnos colubrina,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/53581100390,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Strychnos_potatorum.md,Strychnos_potatorum_-_Flickr_-_dinesh_valke.jpg,Strychnos potatorum,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/55126357888,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
docs/herbs/Swertia_densifolia.md,Swertia_densifolia_-_Flickr_-_dinesh_valke.jpg,Swertia densifolia,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/54455806423,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Swietenia_mahagoni.md,Swietenia_mahagoni_swieteniamahagoni_-_Flickr_-_dinesh_valke.jpg,Swietenia mahagoni,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/1126794924,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Syzygium_jambos_-_Rose_Apple,_Jambu,_Gulab_jamun,_Perunaval,_Gulabjama,_Malakkachampa,_Jamb.md",Syzygium_jambos_-_Flickr_-_dinesh_valke.jpg,Syzygium jambos,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/5592458879,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Terminalia_paniculata_-_Kindal_Tree,_ಹುಲಿವೆ,_Pumarutu,_Putanallamanu,_Pullamaruthu,_Kindal.md",Terminalia_paniculata_deciduous_-_Flickr_-_dinesh_valke.jpg,Terminalia paniculata,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/16147941322,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Thalictrum_foliolosum.md,Thalictrum_foliolosum_ranunculaceae_-_Flickr_-_dinesh_valke.jpg,Thalictrum foliolosum,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/7787354774,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Typha_domingensis_-_Lesser_Indian_Reed-mace,_Pater,_Jammugaddi.md",Typha_domingensis_-_Flickr_-_dinesh_valke.jpg,Typha domingensis,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/47502597372,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Veronica_arvensis_-_Wall_speedwell.md,Veronica_arvensis_-_Flickr_-_dinesh_valke.jpg,Veronica arvensis,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/6367554795,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Viola_pilosa_-_Smooth-Leaf_White_Violet,_Bili_kaamakasthoori,_Banafsha.md",Viola_pilosa_-_Flickr_-_dinesh_valke.jpg,Viola pilosa,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/55081600630,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
